序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
11,688776,国光电气,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:9,200万元至11,200万元,同比上年下降:304.9%至349.45%,同比上年降低13,690万元至15,690万元。",-102000000.0,-327.175,"(一)本报告期公司销售收入出现下滑,主要受外部客观因素影响。一方面,核工业设备业务受ITER项目及国内重大科研装置建设进度延后制约,相关采购订单未能按期下达;另一方面,微波器件业务中,部分总体单位项目推进节点未达预期,致使订单延迟下发。由于上述客观原因导致客户订单量缩减,并叠加部分产品价格下调的影响,最终导致本期营收规模减少。(二)受销售回款不及预期的影响,导致本期计提信用减值损失增加,影响本期业绩。",首亏,44900000.0,2026-01-30
12,688661,和林微纳,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:2,600万元至3,300万元。",29500000.0,438.765,"报告期内,全球半导体行业高性能算力领域的技术迭代持续推进,相关芯片产品的量产规模逐步增长。随着芯片制程工艺与封装集成度的不断演进,成品测试(FT)环节的测试复杂度随之提升,对测试信号的传输质量及测试环境的稳定性提出了更高层级的技术要求。受此影响,产业链后端测试环节对高规格精密测试探针等耗材的需求结构发生变化,技术规格的升级成为驱动相关精微零部件需求增长的主要因素。公司作为全球算力芯片供应链的供应商,报告期内,核心产品FT测试探针紧跟客户的技术标准升级,有效匹配了新一代高性能芯片在成品测试环节对物理精度及电学性能等方面的要求。由于高性能芯片测试位点及单次测试周期的变化,FT测试探针作为关键耗材的单位消耗量及周转频率有所提升,公司在既有供应体系内的订单规模稳步释放。此外,公司通过保障高规格产品的持续供应与技术响应,支撑了下游客户高性能芯片在量产阶段的测试效率,整体业务结构得到进一步的优化,从而带动了本年度公司经营业绩的增长。",扭亏,-8708100.0,2026-01-30
13,688661,和林微纳,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:2,200万元至2,700万元。",24500000.0,223.22,"报告期内,全球半导体行业高性能算力领域的技术迭代持续推进,相关芯片产品的量产规模逐步增长。随着芯片制程工艺与封装集成度的不断演进,成品测试(FT)环节的测试复杂度随之提升,对测试信号的传输质量及测试环境的稳定性提出了更高层级的技术要求。受此影响,产业链后端测试环节对高规格精密测试探针等耗材的需求结构发生变化,技术规格的升级成为驱动相关精微零部件需求增长的主要因素。公司作为全球算力芯片供应链的供应商,报告期内,核心产品FT测试探针紧跟客户的技术标准升级,有效匹配了新一代高性能芯片在成品测试环节对物理精度及电学性能等方面的要求。由于高性能芯片测试位点及单次测试周期的变化,FT测试探针作为关键耗材的单位消耗量及周转频率有所提升,公司在既有供应体系内的订单规模稳步释放。此外,公司通过保障高规格产品的持续供应与技术响应,支撑了下游客户高性能芯片在量产阶段的测试效率,整体业务结构得到进一步的优化,从而带动了本年度公司经营业绩的增长。",扭亏,-19883300.0,2026-01-30
14,688651,盛邦安全,营业收入,"预计2025年1-12月营业收入:29,500万元至32,000万元,同比上年增长:0.5%至9.02%。",307500000.0,4.76,"报告期内,公司执行“聚焦行业、狠抓交付、组织升级”战略,聚焦重点行业和重点战略区域,持续提升产品竞争力和交付能力、提升品牌影响力、完善销售体系建设,从而继续保持较高的投入。报告期内,公司利润水平受到多方面因素的综合影响:一是公司继续加大研发投入、完善市场布局,推动本期研发和销售费用上升。二是受销售结构变化影响,本期营业成本同比增加。三是公司部分客户结算和付款周期拉长,应收账款坏账准备增加较多。",略增,293533599.0,2026-01-30
15,688651,盛邦安全,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:3,500万元至5,000万元,同比上年降低3,662.85万元至5,162.85万元。",-42500000.0,-2709.765,"报告期内,公司执行“聚焦行业、狠抓交付、组织升级”战略,聚焦重点行业和重点战略区域,持续提升产品竞争力和交付能力、提升品牌影响力、完善销售体系建设,从而继续保持较高的投入。报告期内,公司利润水平受到多方面因素的综合影响:一是公司继续加大研发投入、完善市场布局,推动本期研发和销售费用上升。二是受销售结构变化影响,本期营业成本同比增加。三是公司部分客户结算和付款周期拉长,应收账款坏账准备增加较多。",首亏,1628500.0,2026-01-30
16,688651,盛邦安全,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:4,300万元至5,800万元,同比上年降低3,579.31万元至5,079.31万元。",-50500000.0,-600.715,"报告期内,公司执行“聚焦行业、狠抓交付、组织升级”战略,聚焦重点行业和重点战略区域,持续提升产品竞争力和交付能力、提升品牌影响力、完善销售体系建设,从而继续保持较高的投入。报告期内,公司利润水平受到多方面因素的综合影响:一是公司继续加大研发投入、完善市场布局,推动本期研发和销售费用上升。二是受销售结构变化影响,本期营业成本同比增加。三是公司部分客户结算和付款周期拉长,应收账款坏账准备增加较多。",增亏,-7206900.0,2026-01-30
17,688648,中邮科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:54,000万元至64,000万元。",590000000.0,499.035,"报告期内,公司实现扭亏为盈,主要系主营业务盈利能力改善以及非经常性损益的共同影响。(一)主营业务影响2025年公司持续加强市场拓展与研发创新,新增订单额大幅增加,整体业务保持良好发展态势。报告期内,随着项目交付与验收规模增加,营业收入实现较快增长;同时,公司通过严控成本费用,盈利能力得到改善。(二)非经营性损益的影响报告期内,公司全资子公司广东信源物流设备有限公司完成了广州市天河区旧厂区38,973.78平方米的土地移交工作,确认大额资产处置收益约88,200.00万元。",扭亏,-147857600.0,2026-01-30
18,688648,中邮科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:13,000万元至15,000万元。",-140000000.0,12.31,"报告期内,公司实现扭亏为盈,主要系主营业务盈利能力改善以及非经常性损益的共同影响。(一)主营业务影响2025年公司持续加强市场拓展与研发创新,新增订单额大幅增加,整体业务保持良好发展态势。报告期内,随着项目交付与验收规模增加,营业收入实现较快增长;同时,公司通过严控成本费用,盈利能力得到改善。(二)非经营性损益的影响报告期内,公司全资子公司广东信源物流设备有限公司完成了广州市天河区旧厂区38,973.78平方米的土地移交工作,确认大额资产处置收益约88,200.00万元。",减亏,-159651000.0,2026-01-30
19,688602,康鹏科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:5,500万元至6,500万元。",-60000000.0,-21.135,"报告期内,受CDMO板块业务增长影响,公司营业收入较上年同期提高,综合毛利水平略有上升。受降本增效等举措影响,公司期间费用同比减少。综上,归属于母公司所有者的扣除非经常性损益的净亏损减少。但由于上年同期收到转让联营企业上海中科康润新材料科技有限公司部分股权的处置收益,叠加报告期内联营公司下属子公司取得高新技术企业资质,参照会计准则调整递延所得税资产及费用,投资收益同比下降明显。同时公司基于审慎性原则,对于出现减值迹象的资产进行测试并计提减值准备,资产减值损失增加。综上,归属于母公司所有者的净亏损增加。",增亏,-49531600.0,2026-01-30
20,688602,康鹏科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:6,900万元至8,200万元。",-75500000.0,19.335,"报告期内,受CDMO板块业务增长影响,公司营业收入较上年同期提高,综合毛利水平略有上升。受降本增效等举措影响,公司期间费用同比减少。综上,归属于母公司所有者的扣除非经常性损益的净亏损减少。但由于上年同期收到转让联营企业上海中科康润新材料科技有限公司部分股权的处置收益,叠加报告期内联营公司下属子公司取得高新技术企业资质,参照会计准则调整递延所得税资产及费用,投资收益同比下降明显。同时公司基于审慎性原则,对于出现减值迹象的资产进行测试并计提减值准备,资产减值损失增加。综上,归属于母公司所有者的净亏损增加。",减亏,-93595100.0,2026-01-30
21,688553,汇宇制药,营业收入,"预计2025年1-12月营业收入:96,000万元至109,000万元,同比上年下降:0.4%至12.28%。",1025000000.0,-6.34,"公司被投资企业浙江同源康医药股份有限公司按照香港交易所18A上市标准于2024年8月20日在香港交易所市场上市(证券代码为02410.HK),被投资企业股价波动影响报告期公允价值变动损失1.73亿元。",略减,1094382336.85,2026-01-30
22,688553,汇宇制药,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:2,400万元至2,900万元,同比上年下降:107.38%至108.91%。",-26500000.0,-108.145,"公司被投资企业浙江同源康医药股份有限公司按照香港交易所18A上市标准于2024年8月20日在香港交易所市场上市(证券代码为02410.HK),被投资企业股价波动影响报告期公允价值变动损失1.73亿元。",首亏,325390300.0,2026-01-30
23,688553,汇宇制药,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:7,800万元至9,300万元,同比上年变动:-15.33%至0.96%。",85500000.0,-7.185,"公司被投资企业浙江同源康医药股份有限公司按照香港交易所18A上市标准于2024年8月20日在香港交易所市场上市(证券代码为02410.HK),被投资企业股价波动影响报告期公允价值变动损失1.73亿元。",续盈,92117100.0,2026-01-30
24,688498,源杰科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:15,000万元至18,000万元。",165000000.0,1544.075,"(一)2025年,公司数据中心业务实现增长,占公司整体的收入比例提升。公司整体产品结构的进一步优化,加之数据中心产品毛利率较高,因而,公司的净利润水平同比增加。(二)公司通过私募基金间接参与股权投资,主要投资于中国境内的新一代信息技术、智能制造等高科技行业领域内具有发展潜力的非上市企业。随着被投资企业估值上升,产生投资收益贡献。此外,2025年度,随着政府补助项目完成验收,确认政府补助也对净利润有一定贡献。",扭亏,-11426000.0,2026-01-30
25,688498,源杰科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:17,500万元至20,500万元。",190000000.0,3197.54,"(一)2025年,公司数据中心业务实现增长,占公司整体的收入比例提升。公司整体产品结构的进一步优化,加之数据中心产品毛利率较高,因而,公司的净利润水平同比增加。(二)公司通过私募基金间接参与股权投资,主要投资于中国境内的新一代信息技术、智能制造等高科技行业领域内具有发展潜力的非上市企业。随着被投资企业估值上升,产生投资收益贡献。此外,2025年度,随着政府补助项目完成验收,确认政府补助也对净利润有一定贡献。",扭亏,-6133900.0,2026-01-30
26,688426,康为世纪,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:9,144.1万元至11,176.12万元,同比上年增长:28.91%至41.83%。",-101601100.0,35.37,"(一)本报告期公司业绩亏损的主要原因:生命科学与诊断试剂行业处于恢复期;新业务正在拓展市场,尚未形成规模经济效应。(二)报告期公司归属于上市公司股东的净利润亏损减少的主要原因:主营业务收入上升,报告期内公司整体销售收入实现大幅上升。增长主要来源于公司基因测序、基因合成等科技服务业务的快速增长。",减亏,-157209200.0,2026-01-30
27,688426,康为世纪,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:12,297.93万元至14,329.95万元,同比上年增长:20.64%至31.9%。",-133139400.0,26.27,"(一)本报告期公司业绩亏损的主要原因:生命科学与诊断试剂行业处于恢复期;新业务正在拓展市场,尚未形成规模经济效应。(二)报告期公司归属于上市公司股东的净利润亏损减少的主要原因:主营业务收入上升,报告期内公司整体销售收入实现大幅上升。增长主要来源于公司基因测序、基因合成等科技服务业务的快速增长。",减亏,-180574700.0,2026-01-30
28,688372,伟测科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利约:30,000万元,同比上年增长:133.96%左右,同比上年增长17,177.12万元左右。",300000000.0,133.96,"基于AI及汽车电子相关产品不断渗透、消费电子回暖、国产替代加速、先进封装技术升级推动半导体测试需求增加。本期公司持续加码高端产品产能、产品结构优化、加大研发投入、导入新客户、推进新项目落地、主营业务收入同比增长,归属于母公司所有者的净利润和归属于母公司所有者的扣除非经常性损益的净利润等财务指标较上年同期增长。",预增,128228800.0,2026-01-30
29,688372,伟测科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利约:24,000万元,同比上年增长:122.61%左右,同比上年增长13,218.88万元左右。",240000000.0,122.61,"基于AI及汽车电子相关产品不断渗透、消费电子回暖、国产替代加速、先进封装技术升级推动半导体测试需求增加。本期公司持续加码高端产品产能、产品结构优化、加大研发投入、导入新客户、推进新项目落地、主营业务收入同比增长,归属于母公司所有者的净利润和归属于母公司所有者的扣除非经常性损益的净利润等财务指标较上年同期增长。",预增,107811200.0,2026-01-30
30,688335,复洁科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利约:1,100万元。",11000000.0,121.83,"(一)2025年,公司锚定主责主业战略方向,凭借长期积累的竞争优势和优质的客户资源,积极优化业务结构与产品矩阵,以优质项目为主线持续深耕细作,稳步推进在手项目实施,营业收入实现同比增长;同时,公司积极贯彻落实“提质增效重回报”行动方案,通过采取降本增效、费用管控等举措,期间费用实现同比下降;报告期内,公司非经常性损益实现同比增长,主要包括因前沿科研活动取得财政资金拨付、通过提高现金管理效率获得投资收益以及或有事项冲回部分预计负债等。上述因素对本期利润构成正向影响,预计2025年年度实现归属于母公司所有者的净利润与上年同期(法定披露数据)相比,将实现扭亏为盈。经初步测算,本报告期非经常性损益对公司净利润的影响金额约为1,860.00万元,主要为政府补助、现金管理投资收益、股权处置收益等。(二)在行业整体面临宏观市场环境变化及竞争加剧的背景下,公司营业收入虽实现同比增长,但受市场竞争及毛利率下行等因素影响,预计2025年年度实现归属于母公司所有者扣除非经常性损益后的净利润为负。",扭亏,-50381700.0,2026-01-30
31,688335,复洁科技,扣除非经常性损益后的净利润,预计2025年1-12月扣除非经常性损益后的净利润亏损约:760万元。,-7600000.0,87.31,"(一)2025年,公司锚定主责主业战略方向,凭借长期积累的竞争优势和优质的客户资源,积极优化业务结构与产品矩阵,以优质项目为主线持续深耕细作,稳步推进在手项目实施,营业收入实现同比增长;同时,公司积极贯彻落实“提质增效重回报”行动方案,通过采取降本增效、费用管控等举措,期间费用实现同比下降;报告期内,公司非经常性损益实现同比增长,主要包括因前沿科研活动取得财政资金拨付、通过提高现金管理效率获得投资收益以及或有事项冲回部分预计负债等。上述因素对本期利润构成正向影响,预计2025年年度实现归属于母公司所有者的净利润与上年同期(法定披露数据)相比,将实现扭亏为盈。经初步测算,本报告期非经常性损益对公司净利润的影响金额约为1,860.00万元,主要为政府补助、现金管理投资收益、股权处置收益等。(二)在行业整体面临宏观市场环境变化及竞争加剧的背景下,公司营业收入虽实现同比增长,但受市场竞争及毛利率下行等因素影响,预计2025年年度实现归属于母公司所有者扣除非经常性损益后的净利润为负。",减亏,-59866200.0,2026-01-30
32,688298,东方生物,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:55,800万元。",-558000000.0,2.28,"(一)主营业务影响:本年度公司主营业务保持稳健的发展,但因各产业技术平台战略发展,整体培育期间持续投入较大,汇兑损失及利息收入对利润的贡献减少,同时计提资产相关折旧摊销费用,计提部分资产减值损失等原因,使得2025年度净利润亏损。(二)非经营性损益的影响:报告期内正常的理财收益。",减亏,-571000000.0,2026-01-30
33,688298,东方生物,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:52,300万元。",-523000000.0,1.13,"(一)主营业务影响:本年度公司主营业务保持稳健的发展,但因各产业技术平台战略发展,整体培育期间持续投入较大,汇兑损失及利息收入对利润的贡献减少,同时计提资产相关折旧摊销费用,计提部分资产减值损失等原因,使得2025年度净利润亏损。(二)非经营性损益的影响:报告期内正常的理财收益。",减亏,-529000000.0,2026-01-30
34,688280,精进电动,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:1,920万元至6,700万元,同比上年增长:103.92%至113.69%,同比上年增长50,859.83万元至55,639.83万元。",43100000.0,108.805,"2025年度公司坚持深耕主业,加快技术和产品的更新迭代,新能源车用电驱动系统产品业务发展良好。本年度收入增长较为明显,主要原因是公司配套国内车企的电驱动系统随着客户车型的上市和持续增量,拉动了收入的增长,进而改善了公司的盈利能力。",扭亏,-489398300.0,2026-01-30
35,688280,精进电动,营业收入,"预计2025年1-12月营业收入:245,370万元至299,800万元,同比上年增长:88.04%至129.75%,同比上年增长114,879.94万元至169,309.94万元。",2725850000.0,108.895,"2025年度公司坚持深耕主业,加快技术和产品的更新迭代,新能源车用电驱动系统产品业务发展良好。本年度收入增长较为明显,主要原因是公司配套国内车企的电驱动系统随着客户车型的上市和持续增量,拉动了收入的增长,进而改善了公司的盈利能力。",预增,1304900600.0,2026-01-30
36,688280,精进电动,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:13,710万元至18,490万元,同比上年增长:131.42%至142.37%,同比上年增长57,351.33万元至62,131.33万元。",161000000.0,136.895,"2025年度公司坚持深耕主业,加快技术和产品的更新迭代,新能源车用电驱动系统产品业务发展良好。本年度收入增长较为明显,主要原因是公司配套国内车企的电驱动系统随着客户车型的上市和持续增量,拉动了收入的增长,进而改善了公司的盈利能力。",扭亏,-436413300.0,2026-01-30
37,688265,南模生物,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:2,400万元至3,400万元,同比上年增长:269.49%至423.44%,同比上年增长1,750.45万元至2,750.45万元。",29000000.0,346.465,"(一)主营业务影响。报告期内国内生物医药行业出现回暖迹象,公司工业端营业收入较上年同期增加;通过调整笼位布局、控制采购价格、优化业务流程等措施持续加强成本管控和提高运营效率。毛利率同比上升,成为公司净利润增长的核心支撑。(二)非经营性损益的影响。报告期内政府补助等非经常性损益同比有所上升。",预增,6495500.0,2026-01-30
38,688265,南模生物,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:650万元至950万元,同比上年增长2,200.96万元至2,500.96万元。",8000000.0,151.58,"(一)主营业务影响。报告期内国内生物医药行业出现回暖迹象,公司工业端营业收入较上年同期增加;通过调整笼位布局、控制采购价格、优化业务流程等措施持续加强成本管控和提高运营效率。毛利率同比上升,成为公司净利润增长的核心支撑。(二)非经营性损益的影响。报告期内政府补助等非经常性损益同比有所上升。",扭亏,-15509600.0,2026-01-30
39,688265,南模生物,营业收入,"预计2025年1-12月营业收入:40,000万元至43,000万元,同比上年增长:4.92%至12.79%,同比上年增长1,876.05万元至4,876.05万元。",415000000.0,8.855,"(一)主营业务影响。报告期内国内生物医药行业出现回暖迹象,公司工业端营业收入较上年同期增加;通过调整笼位布局、控制采购价格、优化业务流程等措施持续加强成本管控和提高运营效率。毛利率同比上升,成为公司净利润增长的核心支撑。(二)非经营性损益的影响。报告期内政府补助等非经常性损益同比有所上升。",略增,381239500.0,2026-01-30
40,688247,宣泰医药,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:4,507万元至5,408万元,同比上年下降:57.65%至64.71%,同比上年降低7,362.06万元至8,263.06万元。",49575000.0,-61.18,"报告期内,公司归属于母公司所有者的净利润和归属于母公司所有者的扣除非经常性损益的净利润出现下滑,主要基于以下原因:1、随着国内药品集采政策持续推进,公司部分产品价格下降明显,利润空间收窄。在海外市场,部分产品面临行业竞争加剧以及关税政策调整等因素,导致公司相关产品在海外市场的销售额与盈利水平同比下滑。2、公司基于谨慎性原则,按照《企业会计准则》的相关规定,对相关的应收账款、存货、商誉等计提了减值损失,对当期净利润产生了负面影响。",预减,127700600.0,2026-01-30
41,688247,宣泰医药,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:2,961万元至3,553万元,同比上年下降:68.82%至74.02%,同比上年降低7,843.6万元至8,435.6万元。",32570000.0,-71.42,"报告期内,公司归属于母公司所有者的净利润和归属于母公司所有者的扣除非经常性损益的净利润出现下滑,主要基于以下原因:1、随着国内药品集采政策持续推进,公司部分产品价格下降明显,利润空间收窄。在海外市场,部分产品面临行业竞争加剧以及关税政策调整等因素,导致公司相关产品在海外市场的销售额与盈利水平同比下滑。2、公司基于谨慎性原则,按照《企业会计准则》的相关规定,对相关的应收账款、存货、商誉等计提了减值损失,对当期净利润产生了负面影响。",预减,113966000.0,2026-01-30
42,688247,宣泰医药,营业收入,"预计2025年1-12月营业收入:39,383万元至47,260万元,同比上年下降:7.63%至23.02%,同比上年降低3,901.93万元至11,778.93万元。",433215000.0,-15.325,"报告期内,公司归属于母公司所有者的净利润和归属于母公司所有者的扣除非经常性损益的净利润出现下滑,主要基于以下原因:1、随着国内药品集采政策持续推进,公司部分产品价格下降明显,利润空间收窄。在海外市场,部分产品面临行业竞争加剧以及关税政策调整等因素,导致公司相关产品在海外市场的销售额与盈利水平同比下滑。2、公司基于谨慎性原则,按照《企业会计准则》的相关规定,对相关的应收账款、存货、商誉等计提了减值损失,对当期净利润产生了负面影响。",略减,511619303.14,2026-01-30
43,688231,隆达股份,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:6,000万元至7,000万元,同比上年增长:35.19%至57.72%,同比上年增长1,561.87万元至2,561.87万元。",65000000.0,46.455,"报告期内,公司持续加大客户开发力度,积极开拓国际国内市场,扩大销售规模,保持及时交付。全年航空航天、燃机、汽车涡轮、油气化工行业产品销售收入比上年同期较大幅度提升。报告期内,公司持续开展精益生产、降本增效工作,产销规模实现了较好的增长,单位生产费用与上年同期相比有较大下降;毛利率保持在合理水平。报告期内,公司持续加大新产品开发力度,研发投入比上年同期有所增加,为公司长远发展与竞争力提升积蓄动力;公司股份支付费用比上年同期有所减少,该因素对当期利润产生正向影响;综合来看,公司经营业绩持续呈现较好的发展趋势。",预增,44381300.0,2026-01-30
