序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
11,688232,新点软件,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:2,640万元至3,960万元,同比上年下降:80.61%至87.08%,同比上年降低16,466.94万元至17,786.94万元。",33000000.0,-83.845,"报告期内,智慧政务业务下滑较多,主要受客户预算的影响,部分项目从立项到验收的整体进度有所放缓;公司为把握行业发展机遇,巩固核心技术竞争优势,持续在高端人才引进、科技创新研发等领域保持战略性投入。同时公司通过优化组织架构、削减非必要开支、提升资源利用效率等措施,加强对研发、管理及销售费用的精细化管控,期间费用同比下降。持续加强回款管理,全年销售回款约为22亿元,预计公司经营活动产生的现金流量净额为净流入,持续健康的现金流表现,为未来的高质量发展奠定基础。",预减,204269400.0,2026-01-26
12,688213,思特威,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:96,583万元至102,001万元,同比上年增长:147%至161%,同比上年增长57,441万元至62,859万元。",992920000.0,154.0,"报告期内,在智能手机领域,公司与多家客户的合作持续全面加深,产品能够满足更多旗舰机主摄、辅摄及多光谱摄像头等应用需求,公司创新研发推出的基于Lofic HDR2.0技术的多款主摄高阶5000万像素产品出货量大幅上升,以及新开发的中高端HS系列多款5000万像素产品量产出货,带动公司智能手机领域营业收入大幅增长;在汽车电子领域,公司应用于智能辅助驾驶(包括环视、周视和前视)和舱内等新一代产品的出货量同比大幅上升,推动公司汽车电子领域收入跨越式增长;在智慧安防领域,公司高端安防和智能家居安防应用份额持续提升,同时,作为机器视觉领域的先行者与引领者,公司紧抓市场发展机遇,新兴机器视觉领域收入持续增长。随着公司收入规模和利润增长,公司经营能力持续提升,各项运营指标持续改善,同时公司2025年经营性现金流为正。",预增,391420000.0,2026-01-26
13,688213,思特威,营业收入,"预计2025年1-12月营业收入:880,000万元至920,000万元,同比上年增长:47%至54%,同比上年增长283,185万元至323,185万元。",9000000000.0,50.5,"报告期内,在智能手机领域,公司与多家客户的合作持续全面加深,产品能够满足更多旗舰机主摄、辅摄及多光谱摄像头等应用需求,公司创新研发推出的基于Lofic HDR2.0技术的多款主摄高阶5000万像素产品出货量大幅上升,以及新开发的中高端HS系列多款5000万像素产品量产出货,带动公司智能手机领域营业收入大幅增长;在汽车电子领域,公司应用于智能辅助驾驶(包括环视、周视和前视)和舱内等新一代产品的出货量同比大幅上升,推动公司汽车电子领域收入跨越式增长;在智慧安防领域,公司高端安防和智能家居安防应用份额持续提升,同时,作为机器视觉领域的先行者与引领者,公司紧抓市场发展机遇,新兴机器视觉领域收入持续增长。随着公司收入规模和利润增长,公司经营能力持续提升,各项运营指标持续改善,同时公司2025年经营性现金流为正。",预增,5968150000.0,2026-01-26
14,688213,思特威,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:97,635万元至103,053万元,同比上年增长:149%至162%,同比上年增长58,361万元至63,779万元。",1003440000.0,155.5,"报告期内,在智能手机领域,公司与多家客户的合作持续全面加深,产品能够满足更多旗舰机主摄、辅摄及多光谱摄像头等应用需求,公司创新研发推出的基于Lofic HDR2.0技术的多款主摄高阶5000万像素产品出货量大幅上升,以及新开发的中高端HS系列多款5000万像素产品量产出货,带动公司智能手机领域营业收入大幅增长;在汽车电子领域,公司应用于智能辅助驾驶(包括环视、周视和前视)和舱内等新一代产品的出货量同比大幅上升,推动公司汽车电子领域收入跨越式增长;在智慧安防领域,公司高端安防和智能家居安防应用份额持续提升,同时,作为机器视觉领域的先行者与引领者,公司紧抓市场发展机遇,新兴机器视觉领域收入持续增长。随着公司收入规模和利润增长,公司经营能力持续提升,各项运营指标持续改善,同时公司2025年经营性现金流为正。",预增,392740000.0,2026-01-26
15,688125,安达智能,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:9,000万元至13,000万元,同比上年下降:160.47%至276.24%,同比上年降低5,544.77万元至9,544.77万元。",-110000000.0,-218.355,"2025年年度归属于母公司所有者的净利润预计出现亏损,主要受以下因素的综合影响:1、报告期内,公司处于新旧动能转换期,新市场新产品尚未规模化放量。公司智能设备产品的下游应用包括消费电子、汽车电子、AI服务器、新能源等多个行业领域,其中消费电子是公司收入占比最大的一个应用领域(预计收入占比达到60%以上)。在消费电子传统市场方面,国际大客户产品创新需求不足,叠加全球贸易摩擦升级导致供应链竞争加剧,公司国际大客户的收入减少。在AI服务器、氢能源等新兴市场方面,公司虽然已取得了一定的业务进展,但这些市场的智能设备产品出货量尚未规模化放量。2、报告期内,为了加快公司新市场新产品的拓展,公司在技术创新与市场开拓方面的投入仍保持着较高水平,使得公司期间费用增加。随着募投项目部分工程达至预定可使用状态转入固定资产,公司折旧费用相应增加;公司银行理财利息收入受市场利率下行影响而减少,以及公司基于谨慎原则计提的减值损失同比增加。综上,报告期内公司经营遇到了阶段性的挑战,消费电子等传统应用领域业务承压,AI服务器、氢能源等新兴业务正处于拓展期,公司正处于新旧动能转换的关键时期。为此,管理层高度重视当前情况,并积极采取应对措施,通过开展系统性复盘,公司深入剖析了运营中存在的痛点与难点,持续推进市场开拓、资源配置优化及降本增效等工作,努力提升公司整体盈利水平。",增亏,-34552300.0,2026-01-26
16,688125,安达智能,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:10,000万元至14,000万元,同比上年下降:225.25%至355.36%,同比上年降低6,925.48万元至10,925.48万元。",-120000000.0,-290.305,"2025年年度归属于母公司所有者的净利润预计出现亏损,主要受以下因素的综合影响:1、报告期内,公司处于新旧动能转换期,新市场新产品尚未规模化放量。公司智能设备产品的下游应用包括消费电子、汽车电子、AI服务器、新能源等多个行业领域,其中消费电子是公司收入占比最大的一个应用领域(预计收入占比达到60%以上)。在消费电子传统市场方面,国际大客户产品创新需求不足,叠加全球贸易摩擦升级导致供应链竞争加剧,公司国际大客户的收入减少。在AI服务器、氢能源等新兴市场方面,公司虽然已取得了一定的业务进展,但这些市场的智能设备产品出货量尚未规模化放量。2、报告期内,为了加快公司新市场新产品的拓展,公司在技术创新与市场开拓方面的投入仍保持着较高水平,使得公司期间费用增加。随着募投项目部分工程达至预定可使用状态转入固定资产,公司折旧费用相应增加;公司银行理财利息收入受市场利率下行影响而减少,以及公司基于谨慎原则计提的减值损失同比增加。综上,报告期内公司经营遇到了阶段性的挑战,消费电子等传统应用领域业务承压,AI服务器、氢能源等新兴业务正处于拓展期,公司正处于新旧动能转换的关键时期。为此,管理层高度重视当前情况,并积极采取应对措施,通过开展系统性复盘,公司深入剖析了运营中存在的痛点与难点,持续推进市场开拓、资源配置优化及降本增效等工作,努力提升公司整体盈利水平。",增亏,-30745200.0,2026-01-26
17,688114,华大智造,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:22,100万元至27,300万元,同比上年增长:54.56%至63.22%,同比上年增长32,782.7万元至37,982.7万元。",-247000000.0,58.89,"报告期内,公司制定了一系列“提质增效重回报”措施,包括人效提升、研发聚焦、营销费用全周期管理等措施,导致公司相关的成本费用相比同期减少。报告期内,由于美元、欧元汇率波动,导致公司持有外币货币性项目产生的汇兑收益同比增加。报告期内,上半年对以前年度涉及的不确定性的税务争议风险相应的税务拨备进行冲回处理,导致所得税费用同比减少。根据企业会计准则及公司会计政策等相关规定,基于谨慎性原则,公司对截至2025年12月31日合并报表范围内的各类资产计提了减值准备的会计处理。",减亏,-600827000.0,2026-01-26
18,688114,华大智造,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:32,200万元至39,700万元,同比上年增长:39.18%至50.67%,同比上年增长25,570.68万元至33,070.68万元。",-359500000.0,44.925,"报告期内,公司制定了一系列“提质增效重回报”措施,包括人效提升、研发聚焦、营销费用全周期管理等措施,导致公司相关的成本费用相比同期减少。报告期内,由于美元、欧元汇率波动,导致公司持有外币货币性项目产生的汇兑收益同比增加。报告期内,上半年对以前年度涉及的不确定性的税务争议风险相应的税务拨备进行冲回处理,导致所得税费用同比减少。根据企业会计准则及公司会计政策等相关规定,基于谨慎性原则,公司对截至2025年12月31日合并报表范围内的各类资产计提了减值准备的会计处理。",减亏,-652706800.0,2026-01-26
19,688049,炬芯科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:20,400万元,同比上年增长:91.4%,同比上年增长9,741.71万元。",204000000.0,91.4,"报告期内,公司以端侧产品AI化转型为核心,通过加码研发资源投入与提速新品迭代,斩获亮眼的经营成果:营业收入同比增长41.44%,净利润同比增幅更达91.40%,盈利规模与质量实现双向进阶。凭借创新的技术架构与卓越的产品性能,公司基于第一代存内计算技术的端侧AI音频芯片推广进展顺利,多家头部品牌的多个项目已成功立项并陆续量产。其中,面向低延时私有无线音频领域的客户终端产品率先完成量产,引领市场规格;面向端侧AI处理器芯片领域的客户终端亦在CES全球消费电子展正式发布,进一步拓宽产品应用边界。在端侧产品AI化的行业浪潮驱动下,公司产品矩阵持续丰富完善:端侧AI处理器芯片应用于头部音频品牌的高端音箱、Party音箱等产品,市场渗透率大幅提高,相关销售收入实现倍数增长;低延迟高音质无线音频产品需求强劲,销售额高速增长;蓝牙音箱SoC芯片系列在头部音频品牌中的渗透率稳步提升,同时与头部品牌客户合作价值量及深度也同步提升,为长远发展筑牢根基。报告期内,公司聚焦端侧设备低功耗、高算力的需求,加码研发投入,研发费用合计约24,000.00万元,同比增长11.56%。公司全力推动芯片产品谱系的迭代升级,存内计算技术深度赋能全产品线,面向智能穿戴赛道的ATW609X芯片正式面市。公司第二代存内计算技术IP研发工作也在按规划稳步推进中,目标是实现单核NPU算力倍数提升、能效比优化,并全面支持Transformer模型。同时,公司加大下一代私有协议研发,进一步提升无线传输带宽、降低传输延迟、增强抗干扰性能。立足下游终端应用场景,公司从芯片硬件算力强化、无线连接技术突破、音频算法迭代升级及开发生态完善四个维度,全方位构筑技术护城河。报告期内,公司营业收入增速显著高于费用增速,由此产生的规模效应有效带动整体利润水平提升。未来,公司将继续聚焦下游市场需求,深化端侧AI技术研发与市场推广,增强产品矩阵竞争力,为企业长期稳健发展奠定坚实基础。",预增,106582900.0,2026-01-26
20,688049,炬芯科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:19,200万元,同比上年增长:144.42%,同比上年增长11,344.61万元。",192000000.0,144.42,"报告期内,公司以端侧产品AI化转型为核心,通过加码研发资源投入与提速新品迭代,斩获亮眼的经营成果:营业收入同比增长41.44%,净利润同比增幅更达91.40%,盈利规模与质量实现双向进阶。凭借创新的技术架构与卓越的产品性能,公司基于第一代存内计算技术的端侧AI音频芯片推广进展顺利,多家头部品牌的多个项目已成功立项并陆续量产。其中,面向低延时私有无线音频领域的客户终端产品率先完成量产,引领市场规格;面向端侧AI处理器芯片领域的客户终端亦在CES全球消费电子展正式发布,进一步拓宽产品应用边界。在端侧产品AI化的行业浪潮驱动下,公司产品矩阵持续丰富完善:端侧AI处理器芯片应用于头部音频品牌的高端音箱、Party音箱等产品,市场渗透率大幅提高,相关销售收入实现倍数增长;低延迟高音质无线音频产品需求强劲,销售额高速增长;蓝牙音箱SoC芯片系列在头部音频品牌中的渗透率稳步提升,同时与头部品牌客户合作价值量及深度也同步提升,为长远发展筑牢根基。报告期内,公司聚焦端侧设备低功耗、高算力的需求,加码研发投入,研发费用合计约24,000.00万元,同比增长11.56%。公司全力推动芯片产品谱系的迭代升级,存内计算技术深度赋能全产品线,面向智能穿戴赛道的ATW609X芯片正式面市。公司第二代存内计算技术IP研发工作也在按规划稳步推进中,目标是实现单核NPU算力倍数提升、能效比优化,并全面支持Transformer模型。同时,公司加大下一代私有协议研发,进一步提升无线传输带宽、降低传输延迟、增强抗干扰性能。立足下游终端应用场景,公司从芯片硬件算力强化、无线连接技术突破、音频算法迭代升级及开发生态完善四个维度,全方位构筑技术护城河。报告期内,公司营业收入增速显著高于费用增速,由此产生的规模效应有效带动整体利润水平提升。未来,公司将继续聚焦下游市场需求,深化端侧AI技术研发与市场推广,增强产品矩阵竞争力,为企业长期稳健发展奠定坚实基础。",预增,78553900.0,2026-01-26
21,688049,炬芯科技,营业收入,"预计2025年1-12月营业收入:92,200万元,同比上年增长:41.44%,同比上年增长27,012.46万元。",922000000.0,41.44,"报告期内,公司以端侧产品AI化转型为核心,通过加码研发资源投入与提速新品迭代,斩获亮眼的经营成果:营业收入同比增长41.44%,净利润同比增幅更达91.40%,盈利规模与质量实现双向进阶。凭借创新的技术架构与卓越的产品性能,公司基于第一代存内计算技术的端侧AI音频芯片推广进展顺利,多家头部品牌的多个项目已成功立项并陆续量产。其中,面向低延时私有无线音频领域的客户终端产品率先完成量产,引领市场规格;面向端侧AI处理器芯片领域的客户终端亦在CES全球消费电子展正式发布,进一步拓宽产品应用边界。在端侧产品AI化的行业浪潮驱动下,公司产品矩阵持续丰富完善:端侧AI处理器芯片应用于头部音频品牌的高端音箱、Party音箱等产品,市场渗透率大幅提高,相关销售收入实现倍数增长;低延迟高音质无线音频产品需求强劲,销售额高速增长;蓝牙音箱SoC芯片系列在头部音频品牌中的渗透率稳步提升,同时与头部品牌客户合作价值量及深度也同步提升,为长远发展筑牢根基。报告期内,公司聚焦端侧设备低功耗、高算力的需求,加码研发投入,研发费用合计约24,000.00万元,同比增长11.56%。公司全力推动芯片产品谱系的迭代升级,存内计算技术深度赋能全产品线,面向智能穿戴赛道的ATW609X芯片正式面市。公司第二代存内计算技术IP研发工作也在按规划稳步推进中,目标是实现单核NPU算力倍数提升、能效比优化,并全面支持Transformer模型。同时,公司加大下一代私有协议研发,进一步提升无线传输带宽、降低传输延迟、增强抗干扰性能。立足下游终端应用场景,公司从芯片硬件算力强化、无线连接技术突破、音频算法迭代升级及开发生态完善四个维度,全方位构筑技术护城河。报告期内,公司营业收入增速显著高于费用增速,由此产生的规模效应有效带动整体利润水平提升。未来,公司将继续聚焦下游市场需求,深化端侧AI技术研发与市场推广,增强产品矩阵竞争力,为企业长期稳健发展奠定坚实基础。",略增,651875400.0,2026-01-26
22,603690,至纯科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:30,000万元至45,000万元。",-375000000.0,-1689.15,"本期业绩变化主要系公司收入同比下降、研发费用增长、单项计提信用减值准备以及非经常性损益下降影响,具体情况如下:1、报告期内,公司高纯工艺系统业务及湿法设备业务收入较去年同期减少,主要受到国内市场竞争加剧、交付进度低于预期等因素影响。2、报告期内公司继续推行战略业务布局,持续增加研发投入,加大响应先进制程的高阶湿法设备研发以及供应链国产化建设。3、依照《企业会计准则》及公司会计政策的相关规定,基于谨慎性原则,公司对部分其他应收款进行了单项计提信用减值准备,详见公司于同日在上海证券交易所公告的《关于2025年度单项计提信用减值准备的公告》(公告编号:2026-004)。4、2025年度非经常性损益较2024年度减少,主要系2024年度公司投资收益及公允价值变动合计共5,784.95万元,因此2024年度非经常性损益较多。",首亏,23597500.0,2026-01-26
23,603690,至纯科技,营业收入,"预计2025年1-12月营业收入:305,000万元至325,000万元,同比上年下降:9.85%至15.4%,同比上年降低35,500万元至55,500万元。",3150000000.0,-12.625,"本期业绩变化主要系公司收入同比下降、研发费用增长、单项计提信用减值准备以及非经常性损益下降影响,具体情况如下:1、报告期内,公司高纯工艺系统业务及湿法设备业务收入较去年同期减少,主要受到国内市场竞争加剧、交付进度低于预期等因素影响。2、报告期内公司继续推行战略业务布局,持续增加研发投入,加大响应先进制程的高阶湿法设备研发以及供应链国产化建设。3、依照《企业会计准则》及公司会计政策的相关规定,基于谨慎性原则,公司对部分其他应收款进行了单项计提信用减值准备,详见公司于同日在上海证券交易所公告的《关于2025年度单项计提信用减值准备的公告》(公告编号:2026-004)。4、2025年度非经常性损益较2024年度减少,主要系2024年度公司投资收益及公允价值变动合计共5,784.95万元,因此2024年度非经常性损益较多。",略减,3604680268.78,2026-01-26
24,603690,至纯科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:33,000万元至48,000万元。",-405000000.0,-605.485,"本期业绩变化主要系公司收入同比下降、研发费用增长、单项计提信用减值准备以及非经常性损益下降影响,具体情况如下:1、报告期内,公司高纯工艺系统业务及湿法设备业务收入较去年同期减少,主要受到国内市场竞争加剧、交付进度低于预期等因素影响。2、报告期内公司继续推行战略业务布局,持续增加研发投入,加大响应先进制程的高阶湿法设备研发以及供应链国产化建设。3、依照《企业会计准则》及公司会计政策的相关规定,基于谨慎性原则,公司对部分其他应收款进行了单项计提信用减值准备,详见公司于同日在上海证券交易所公告的《关于2025年度单项计提信用减值准备的公告》(公告编号:2026-004)。4、2025年度非经常性损益较2024年度减少,主要系2024年度公司投资收益及公允价值变动合计共5,784.95万元,因此2024年度非经常性损益较多。",增亏,-57407000.0,2026-01-26
25,603569,长久物流,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:8,000万元至12,000万元。",-100000000.0,-214.66,"(一)资产减值因素受市场竞争加剧、市场开发进度不及预期及前期采购电芯等原材料成本较高等多重因素影响,公司新能源业务板块盈利能力受到显著冲击。基于此,公司对新能源板块相关固定资产、存货及商誉计提了相应减值准备。此外,公司波兰联营企业及公司的网络货运平台业务亦出现盈利能力下滑,结合当前市场环境及经营情况,公司遵循谨慎性原则,对前述相关资产计提了减值准备。(二)整车业务不及预期2025年前三季度整车运价尚未回归合理区间,致2025年度整车运输业务盈利水平不及预期。",首亏,87214200.0,2026-01-26
26,603569,长久物流,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:5,000万元至7,500万元。",-62500000.0,-178.55,"(一)资产减值因素受市场竞争加剧、市场开发进度不及预期及前期采购电芯等原材料成本较高等多重因素影响,公司新能源业务板块盈利能力受到显著冲击。基于此,公司对新能源板块相关固定资产、存货及商誉计提了相应减值准备。此外,公司波兰联营企业及公司的网络货运平台业务亦出现盈利能力下滑,结合当前市场环境及经营情况,公司遵循谨慎性原则,对前述相关资产计提了减值准备。(二)整车业务不及预期2025年前三季度整车运价尚未回归合理区间,致2025年度整车运输业务盈利水平不及预期。",首亏,79565500.0,2026-01-26
27,603386,骏亚科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:0万元至1,000万元。",-5000000.0,96.755,"(一)主营业务经营影响报告期内,公司不断加大市场开拓力度,积极优化销售结构,营业收入同比实现增长。但受原材料价格上涨等因素影响,公司毛利率与去年同期相比只略有提升。同时,公司外销业务主要以美元结算,受国际外汇市场波动影响,美元兑人民币汇率贬值,对公司汇兑损益产生一定负面影响。(二)商誉计提影响2024年度,公司根据《企业会计准则》的相关规定,对收购长沙牧泰莱100%股权形成的商誉计提减值准备12,333.67万元。本报告期末,结合当前经营实际及行业环境等因素,未发现因收购长沙牧泰莱、深圳牧泰莱所形成的商誉存在进一步减值迹象,本期不涉及新增计提商誉减值准备。最终结论以公司聘请的具备证券期货从业资格的评估机构及审计机构的评估和审计为准。",减亏,-154128100.0,2026-01-26
28,603386,骏亚科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:2,000万元至3,000万元。",-25000000.0,84.49,"(一)主营业务经营影响报告期内,公司不断加大市场开拓力度,积极优化销售结构,营业收入同比实现增长。但受原材料价格上涨等因素影响,公司毛利率与去年同期相比只略有提升。同时,公司外销业务主要以美元结算,受国际外汇市场波动影响,美元兑人民币汇率贬值,对公司汇兑损益产生一定负面影响。(二)商誉计提影响2024年度,公司根据《企业会计准则》的相关规定,对收购长沙牧泰莱100%股权形成的商誉计提减值准备12,333.67万元。本报告期末,结合当前经营实际及行业环境等因素,未发现因收购长沙牧泰莱、深圳牧泰莱所形成的商誉存在进一步减值迹象,本期不涉及新增计提商誉减值准备。最终结论以公司聘请的具备证券期货从业资格的评估机构及审计机构的评估和审计为准。",减亏,-161160800.0,2026-01-26
29,603166,福达股份,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:28,000万元至30,000万元,同比上年增长:55.9%至67.04%,同比上年增长10,040万元至12,040万元。",290000000.0,61.47,"本期业绩实现增长主要原因:一是公司积极推进曲轴与锻造产能的提升,有效驱动业务营收较上年同期实现增长;二是公司持续深化提质增效专项工作并取得确实效果;三是公司转让所持合资公司的全部股权,进一步优化资源配置结构,推动投资收益同比增加。受上述多重因素综合影响,公司2025年年度净利润实现同比增长。",预增,179598200.0,2026-01-26
30,603166,福达股份,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:31,000万元至33,000万元,同比上年增长:67.31%至78.11%,同比上年增长12,472万元至14,472万元。",320000000.0,72.71,"本期业绩实现增长主要原因:一是公司积极推进曲轴与锻造产能的提升,有效驱动业务营收较上年同期实现增长;二是公司持续深化提质增效专项工作并取得确实效果;三是公司转让所持合资公司的全部股权,进一步优化资源配置结构,推动投资收益同比增加。受上述多重因素综合影响,公司2025年年度净利润实现同比增长。",预增,185281000.0,2026-01-26
